time,FLOW,SALT,TEMP,PHS_frp,PHS_frp_ads,OGM_dop,OGM_pop,OGM_don,NIT_amm,NIT_nit,OGM_docr,CAR_dic,CAR_pH,SIL_rsi
2001-12-28,0.389153,0,1.846978,1.5307,5.0786,1.9807,1.5668,44.6199,79.92,446.1985,583.3333,5000,7.7,190
2001-12-29,0.369373,0,1.755872,1.498,4.9703,1.9384,1.5333,44.6206,79.1788,446.2065,583.3333,5000,7.7,190
2001-12-30,0.352108,0,1.667776,1.4663,4.865,1.8974,1.5009,44.6044,78.4504,446.0442,583.3333,5000,7.7,190
2001-12-31,0.335988,0,1.583112,1.4366,4.7663,1.8588,1.4704,44.5816,77.7639,445.8158,583.3333,5000,7.7,190
2002-01-01,0.32194,0,1.502619,1.4105,4.68,1.8252,1.4438,44.5709,77.1699,445.7092,583.3333,5000,7.7,190
2002-01-02,0.31539,0,1.427674,1.3916,4.6171,1.8007,1.4244,44.6079,76.7636,446.0791,583.3333,5000,7.7,190
2002-01-03,0.304827,0,1.355829,1.3732,4.5559,1.7768,1.4055,44.6281,76.3664,446.2812,583.3333,5000,7.7,190
2002-01-04,0.298626,0,1.289017,1.36,4.5124,1.7598,1.3921,44.6817,76.1142,446.8169,583.3333,5000,7.7,190
2002-01-05,0.293844,0,1.226455,1.3501,4.4794,1.747,1.3819,44.7478,75.9488,447.4775,583.3333,5000,7.7,190
2002-01-06,0.289934,0,1.16801,1.3429,4.4555,1.7376,1.3745,44.8225,75.8594,448.2246,583.3333,5000,7.7,190
2002-01-07,0.286885,0,1.113474,1.3378,4.4387,1.7311,1.3693,44.9,75.8299,448.9995,583.3333,5000,7.7,190
2002-01-08,0.285004,0,1.062891,1.335,4.4292,1.7274,1.3664,44.9811,75.8623,449.8105,583.3333,5000,7.7,190
2002-01-09,0.323787,0,1.032147,1.3742,4.5593,1.7781,1.4066,45.488,77.0907,454.8799,583.3333,5000,7.7,190
2002-01-10,0.304813,0,0.985583,1.3657,4.5313,1.7672,1.3979,45.4722,76.9675,454.7222,583.3333,5000,7.7,190
2002-01-11,0.301969,0,0.947617,1.3713,4.5496,1.7744,1.4036,45.5831,77.2388,455.8313,583.3333,5000,7.7,190
2002-01-12,0.299803,0,0.911806,1.3743,4.5598,1.7783,1.4067,45.6483,77.4409,456.483,583.3333,5000,7.7,190
2002-01-13,0.294455,0,0.877534,1.3733,4.5565,1.777,1.4057,45.6506,77.5279,456.5063,583.3333,5000,7.7,190
2002-01-14,0.311529,0,0.857583,1.4012,4.6488,1.813,1.4342,45.9338,78.4293,459.3376,583.3333,5000,7.7,190
2002-01-15,0.323056,0,0.83706,1.4197,4.7104,1.837,1.4531,46.0974,79.0658,460.9738,583.3333,5000,7.7,190
2002-01-16,0.329445,0,0.824318,1.4509,4.8139,1.8774,1.4851,46.3671,80.0521,463.6705,583.3333,5000,7.7,190
2002-01-17,0.361682,0,0.816348,1.4873,4.9345,1.9245,1.5223,46.6619,81.1724,466.6187,583.3333,5000,7.7,190
2002-01-18,0.350515,0,0.800598,1.4938,4.9563,1.933,1.529,46.637,81.4704,466.3695,583.3333,5000,7.7,190
2002-01-19,0.343523,0,0.786105,1.4951,4.9605,1.9346,1.5303,46.5392,81.6228,465.3919,583.3333,5000,7.7,190
2002-01-20,0.339161,0,0.773287,1.4922,4.9508,1.9308,1.5273,46.3803,81.6602,463.8027,583.3333,5000,7.7,190
2002-01-21,0.333311,0,0.762262,1.4855,4.9285,1.9221,1.5205,46.164,81.5912,461.6404,583.3333,5000,7.7,190
