year,metric,Time,0,0.25,0.5,0.75,1,1.25,1.5,1.75,2
2000,max_Secchi,annual,6.9322149790686565,6.934258749156735,6.924486383607929,6.9349527834672084,6.908823057255302,6.938166652553945,6.927994671812578,6.939403823854011,6.929575649955904
2000,max_Secchi,summer,6.487206248438094,6.172404836109639,5.246438484196813,5.201728286240431,5.212884631247505,5.272719590651992,5.235386876244011,5.513807880376387,5.269034174468176
2000,mean_Chla,annual,20.324666345509325,23.978495869479488,35.264121715942075,42.9924709622441,48.282416564631134,50.07105395392672,54.5099602394724,49.921936342601974,54.30057294832135
2000,mean_Chla,summer,35.10103833405516,50.79212008525103,63.33247793943442,78.11631819382515,81.6758152034732,82.22506256687807,87.49259483944874,80.46719405178291,85.11800445494224
2000,mean_Secchi,annual,5.703605623178947,5.21511078208613,4.203032775926248,3.890336009749117,3.6606550290437414,3.592524919068966,3.4702114389625898,3.5966942498040324,3.467777771639782
2000,mean_Secchi,summer,5.6088207751172625,4.406765438275245,3.311299109476523,3.0341875703164956,2.8908373503444547,2.9542401020615565,2.822158718302526,3.0194150529651176,2.847297199990215
2000,min_Chla,annual,1.0488948518373642,1.048895738388175,1.04889636750415,1.0488969000391533,1.0488973582524868,1.048897758020101,1.0488981109709166,1.0488984258191587,1.048898709224314
2000,min_Chla,summer,2.420273307471792,7.900938230546571,13.946951555759574,13.316854684582813,19.000264458676675,13.389295362164757,17.080421666554933,15.065948679126892,17.223843753784173
2001,max_Secchi,annual,7.265436788456019,7.469089333769873,6.991906324842833,6.703976753402068,6.546841131049893,6.391211141951475,6.298735584688884,6.364707412208659,6.30028374662049
2001,max_Secchi,summer,7.100113276177736,5.474028008425055,3.9877203512106343,4.133702824931433,4.183133277801665,4.222309469270988,4.325112189583343,4.349316934213229,3.823322923837711
2001,mean_Chla,annual,10.210456949029727,20.729535800399443,32.14618642030269,39.277682013682195,45.696767410752024,50.132747210078094,53.621401415355976,52.514402533764375,54.77772953715163
2001,mean_Chla,summer,9.96737062563808,39.91219295946383,63.78260906265024,82.11978104307558,97.95032493731125,110.9994933766392,123.60869662898786,117.82356041165576,127.15547271576997
2001,mean_Secchi,annual,6.540498784261001,5.48043678600699,4.5286098332368185,4.150031877704379,3.9118697411463867,3.73686702861949,3.6541358671499466,3.677440800774222,3.5540259205233538
2001,mean_Secchi,summer,6.326990692038236,3.9401670568694667,2.6994032413135933,2.2104917579481342,1.9251557262872754,1.779411037000668,1.6582630437952282,1.755421135227922,1.5636518950170168
2001,min_Chla,annual,3.4962996341357755,2.7023697869993892,4.352587668887758,5.344578783973292,6.113153696736949,6.6585462014407995,7.04801296799034,6.743275423256496,7.1649582714222735
2001,min_Chla,summer,3.5814024858530966,17.84110665566435,31.59997491084646,31.301733361250704,28.491106710976098,26.276555328347886,23.312741487662894,23.859395124747266,31.008071599427836
2002,max_Secchi,annual,7.728412305681052,6.788066510488354,6.460979425061809,6.2636890597023145,6.1630858044698105,6.0180209841035195,5.989008516515524,5.946386951756577,5.854192644206668
2002,max_Secchi,summer,7.640096397793,6.0345170108634285,5.498573410606761,5.265545712676201,5.189019868246004,5.056787511693436,5.024149937715727,4.987262716328965,4.933060186951103
2002,mean_Chla,annual,5.193104636644108,20.834565108125354,29.592151708404323,38.47694074671279,45.206028799117384,50.71805294135925,54.06760896799766,56.78661744058122,58.78731592099953
2002,mean_Chla,summer,4.577655106015662,25.646305905984597,49.118823979735836,69.15602930625303,86.72365949722276,96.57626528554684,103.70740766508807,112.08300883958496,111.62410994867598
2002,mean_Secchi,annual,7.416986611562785,5.636916910619182,4.688532994088125,4.23618573977989,4.0002313300200525,3.8053025347988343,3.7322945111792163,3.64338788228808,3.5812962430927726
2002,mean_Secchi,summer,7.148508117091043,4.436474985911397,2.9831054094770093,2.4178637214082146,2.1343708982939438,1.9840612144510519,1.9373499759081418,1.8394736254100756,1.8237590565208468
2002,min_Chla,annual,1.8285058432317607,11.253753034788605,16.87282990355832,20.93233410864981,20.438809271102258,20.280140712502185,19.991036966262783,20.81254782429905,20.925651927199432
2002,min_Chla,summer,1.8687757525069784,14.787167028554551,26.234118322382887,28.09024026434222,28.919270218735335,30.278252974333192,30.668461359940125,30.530436731906967,32.163983904044436
2003,max_Secchi,annual,8.15967080691484,7.851355463783054,7.578160915933319,7.228466947087247,7.248689210056079,7.1820110501513765,6.447873529287114,6.9459270937794475,6.927285801323084
2003,max_Secchi,summer,7.462599013530695,6.193828771212788,5.513271564475452,5.294685762523235,4.797979753223093,4.825922187090203,4.682633663616112,4.620340364766643,4.842738799184526
2003,mean_Chla,annual,5.971825381359113,13.388279150747048,21.121894007614905,27.190325686927448,35.195473555784034,39.27260858903403,42.86030566576002,46.123391664051354,48.2428980654915
2003,mean_Chla,summer,4.676478473076964,20.781488871048005,38.82521289264757,53.935701163491935,72.83054652737117,84.72444309110496,94.65488867242968,103.68236042018414,108.61223870462187
2003,mean_Secchi,annual,7.471097949507098,6.0670981882121975,5.0628573318017445,4.594536572533702,4.167146412295899,3.99309767986286,3.8392582136432445,3.7260799277549936,3.6755110690337838
2003,mean_Secchi,summer,7.1882105705903925,4.722979995719907,3.2687911658574977,2.659178024851007,2.129783573234878,1.9474431192747768,1.8167201822111545,1.7143026974717444,1.7557544861376941
