sim,DateTime,Chla,Secchi,TP,year,month
0.25,2000-04-02T05:00:00Z,1.057382866803376,4.45324164062965,146.41094930353123,2000,4
0.25,2000-04-03T05:00:00Z,1.0504311110635522,4.5577352486176155,145.90896005344405,2000,4
0.25,2000-04-04T05:00:00Z,1.048895738388175,4.6317754494242696,145.8093937448384,2000,4
0.25,2000-04-05T05:00:00Z,1.049959325500509,4.707639894080075,145.57899017178988,2000,4
0.25,2000-04-06T05:00:00Z,1.05745359269782,4.7836082484003315,145.3207931937361,2000,4
0.25,2000-04-07T05:00:00Z,1.070143712100465,4.859812087927948,145.02886093369804,2000,4
0.25,2000-04-08T05:00:00Z,1.0780704807685422,4.936218798398628,144.747299579995,2000,4
0.25,2000-04-09T05:00:00Z,1.0954670728047224,5.012191639193574,144.43165845438668,2000,4
0.25,2000-04-10T05:00:00Z,1.1158859910080823,5.088415995485756,144.12814665587445,2000,4
0.25,2000-04-11T05:00:00Z,1.1340409058791234,5.163272650916873,143.8068048259885,2000,4
0.25,2000-04-12T05:00:00Z,1.1645095137710184,5.257964065222885,143.37315818663498,2000,4
0.25,2000-04-13T05:00:00Z,1.230352950744373,5.348324666063531,142.979273409612,2000,4
0.25,2000-04-14T05:00:00Z,1.206264132699819,5.3865228272478705,142.91075573813842,2000,4
0.25,2000-04-15T05:00:00Z,1.2389391883176373,5.458109905774887,142.6269145019731,2000,4
0.25,2000-04-16T05:00:00Z,1.279025646448232,5.535772770837258,142.27517079654748,2000,4
0.25,2000-04-17T05:00:00Z,1.2923415324828098,5.600992348288979,142.07188214644722,2000,4
0.25,2000-04-18T05:00:00Z,1.3276315113057815,5.676385932876107,141.7568645456402,2000,4
0.25,2000-04-19T05:00:00Z,1.424164208895857,5.769915314496113,141.29116755659584,2000,4
0.25,2000-04-20T05:00:00Z,1.3961105935893463,5.808664659348964,141.30453954475783,2000,4
0.25,2000-04-21T05:00:00Z,1.422374369718748,5.8760915447558535,141.05956470125602,2000,4
0.25,2000-04-22T05:00:00Z,1.482547460705048,5.94347350513966,140.79279603227482,2000,4
0.25,2000-04-23T05:00:00Z,1.8141640843239741,6.095748026686367,140.1171994229381,2000,4
0.25,2000-04-24T05:00:00Z,1.6136252554049406,6.0727598087743075,140.23617610443904,2000,4
0.25,2000-04-25T05:00:00Z,1.7090620381099288,6.134045070635542,139.9628325348508,2000,4
0.25,2000-04-26T05:00:00Z,1.9151142324245005,6.2105681763557,139.6411472072448,2000,4
0.25,2000-04-27T05:00:00Z,2.4678133054085087,6.398408996075701,138.7293833326476,2000,4
0.25,2000-04-28T05:00:00Z,2.466581002312205,6.424136048204821,138.56974043358562,2000,4
0.25,2000-04-29T05:00:00Z,2.5768397444677387,6.489744224182779,138.2235373443078,2000,4
0.25,2000-04-30T05:00:00Z,2.7769271853099955,6.498428112486163,138.21294991735095,2000,4
0.25,2000-05-01T05:00:00Z,2.8710595250944406,6.532404230211589,138.01734775766135,2000,5
0.25,2000-05-02T05:00:00Z,3.204514048890402,6.591475334330221,137.69591356274137,2000,5
0.25,2000-05-03T05:00:00Z,3.868182685094001,6.659713165055958,137.2859509731484,2000,5
0.25,2000-05-04T05:00:00Z,3.840819469296293,6.684669983464038,137.19318429654362,2000,5
0.25,2000-05-05T05:00:00Z,4.10889358861005,6.725002206175363,136.98661962814583,2000,5
0.25,2000-05-06T05:00:00Z,4.54587600738281,6.75954762986122,136.78502946743941,2000,5
0.25,2000-05-07T05:00:00Z,4.394153019519559,6.72883386137993,138.07067813163016,2000,5
0.25,2000-05-08T05:00:00Z,5.2893534341824955,6.764480841925574,137.7533725147643,2000,5
0.25,2000-05-09T05:00:00Z,5.6443863401984204,6.795702380479426,137.51629588211637,2000,5
0.25,2000-05-10T05:00:00Z,5.887294913354337,6.832418387921157,137.27814114747306,2000,5
0.25,2000-05-11T05:00:00Z,7.141451673182768,6.8541689800203525,136.95649992534433,2000,5
0.25,2000-05-12T05:00:00Z,6.9853492143149305,6.879128424740462,136.8424531457718,2000,5
0.25,2000-05-13T05:00:00Z,7.919956181189037,6.897632097618476,136.5336301184849,2000,5
0.25,2000-05-14T05:00:00Z,8.180814977103687,6.905807519576739,136.87190131605243,2000,5
0.25,2000-05-15T05:00:00Z,9.00957931581296,6.916700773537548,136.9426249284142,2000,5
0.25,2000-05-16T05:00:00Z,11.257185429174434,6.901165728205072,136.6726305953226,2000,5
0.25,2000-05-17T05:00:00Z,14.525460883129554,6.902383838534724,135.94902992520036,2000,5
0.25,2000-05-18T05:00:00Z,12.828577254498404,6.924629479718295,136.07808347915162,2000,5
0.25,2000-05-19T05:00:00Z,13.13561655293114,6.934258749156735,136.10606151805615,2000,5
0.25,2000-05-20T05:00:00Z,16.454013670136693,6.891840487428128,135.79789647100543,2000,5
0.25,2000-05-21T05:00:00Z,24.22574373889202,6.807776192871079,134.5983923401258,2000,5
0.25,2000-05-22T05:00:00Z,18.885044696212343,6.88873253309614,135.26965640186836,2000,5
0.25,2000-05-23T05:00:00Z,21.842235654604472,6.844227541061342,134.87814644192457,2000,5
0.25,2000-05-24T05:00:00Z,25.613713567958527,6.7869175093197205,134.33188203867113,2000,5
0.25,2000-05-25T05:00:00Z,28.471750759258317,6.741501712373278,133.90350637052308,2000,5
0.25,2000-05-26T05:00:00Z,31.270034084089392,6.692157199938794,133.55810648225196,2000,5
0.25,2000-05-27T05:00:00Z,39.86464133854743,6.547519960009686,132.5313978453657,2000,5
0.25,2000-05-28T05:00:00Z,35.62421178060268,6.628947481426319,133.17524948457458,2000,5
0.25,2000-05-29T05:00:00Z,38.48098118818613,6.585216679732208,132.48806211756602,2000,5
0.25,2000-05-30T05:00:00Z,52.209175679784664,6.34953516039369,131.14474066565126,2000,5
0.25,2000-05-31T05:00:00Z,51.812750750953256,6.357934730399158,130.67084519150262,2000,5
0.25,2000-06-01T05:00:00Z,63.52866201449236,6.172404836109639,129.04379171066165,2000,6
